epoch,train_loss,train_time,val_loss,avg_precision,avg_recall,avg_f1,background_precision,background_recall,background_f1,vivienda precaria_precision,vivienda precaria_recall,vivienda precaria_f1,valid_time
10,0.19068512320518494,0:01:05.431120,0.17688482999801636,0.9212787747383118,0.9317126870155334,0.9264664053916931,0.9467665553092957,0.9808565378189087,0.9635100960731506,0.6315026879310608,0.3729856312274933,0.4689779281616211,0:00:08.096185
11,0.1905430555343628,0:01:05.818848,0.31092727184295654,0.8843514323234558,0.8806487321853638,0.8824962377548218,0.9377455115318298,0.9320257306098938,0.9348768591880798,0.2773028612136841,0.29653286933898926,0.2865956425666809,0:00:07.961208
12,0.20303265750408173,0:01:06.067889,0.6116105914115906,0.9001285433769226,0.5244103074073792,0.662722110748291,0.9683010578155518,0.498911589384079,0.6585229635238647,0.1250612735748291,0.8143100142478943,0.21682299673557281,0:00:08.146586
13,0.19764526188373566,0:01:04.907531,0.2895868420600891,0.9258569478988647,0.9193515181541443,0.92259281873703,0.9193355441093445,1.0,0.9579727053642273,1.0,0.0024416446685791016,0.0048713949508965015,0:00:07.823880
14,0.21669673919677734,0:01:05.071584,0.33956095576286316,0.9050499200820923,0.8750142455101013,0.889778733253479,0.955755889415741,0.9059597849845886,0.9301918745040894,0.3285631537437439,0.5231878161430359,0.40363967418670654,0:00:07.568678
15,0.1941637098789215,0:01:05.367265,0.2647928297519684,0.9251055717468262,0.919888436794281,0.922489583492279,0.919839084148407,0.9999876022338867,0.9582403302192688,0.9849812388420105,0.009223557077348232,0.018275972455739975,0:00:07.619155
16,0.199682354927063,0:01:05.274658,0.26156479120254517,0.9241200089454651,0.9214559197425842,0.9227860569953918,0.9213699102401733,0.9998773336410522,0.9590196013450623,0.9553861618041992,0.02986619807779789,0.05792171508073807,0:00:07.511533
17,0.18173077702522278,0:01:05.631396,0.2243635058403015,0.9269307255744934,0.9226361513137817,0.924778401851654,0.9224335551261902,0.9999130368232727,0.9596118927001953,0.9780591726303101,0.044058989733457565,0.0843195989727974,0:00:07.613357
18,0.1846621036529541,0:01:05.297322,0.23974689841270447,0.9189069867134094,0.8924808502197266,0.905501127243042,0.9649730920791626,0.9162833094596863,0.9399980902671814,0.39517199993133545,0.6218653917312622,0.48325419425964355,0:00:07.826432
19,0.17282085120677948,0:01:05.318406,0.22135354578495026,0.9247850775718689,0.9055393934249878,0.9150611162185669,0.9672439694404602,0.928680956363678,0.9475703239440918,0.4420609474182129,0.642437756061554,0.5237381458282471,0:00:07.555679
20,0.18445949256420135,0:01:06.692213,0.25414955615997314,0.9281867146492004,0.9234450459480286,0.9258098006248474,0.9231706857681274,0.999928891658783,0.96001797914505,0.9852142930030823,0.05388416722416878,0.10217982530593872,0:00:07.633898
21,0.19475312530994415,0:01:04.931988,0.6378695368766785,0.9123537540435791,0.6156383752822876,0.7351869940757751,0.9788507223129272,0.5946798920631409,0.7398684024810791,0.15633569657802582,0.8539193272590637,0.2642858922481537,0:00:07.519163
22,0.19605481624603271,0:01:04.949020,0.45290103554725647,0.8448442816734314,0.9191541075706482,0.880433976650238,0.9191541075706482,1.0,0.9578741788864136,0.0,0.0,0.0,0:00:07.573470
23,0.1925690919160843,0:01:05.314278,0.37787607312202454,0.8738142251968384,0.9158770442008972,0.8943513631820679,0.9215934872627258,0.9929555654525757,0.9559445381164551,0.33060145378112793,0.039554644376039505,0.0706557184457779,0:00:07.757191
24,0.19320371747016907,0:01:05.242433,0.23369374871253967,0.9140961766242981,0.9232107400894165,0.918630838394165,0.9240393042564392,0.9985417127609253,0.9598469734191895,0.801050066947937,0.06675651669502258,0.12324247509241104,0:00:07.521449
25,0.18209756910800934,0:01:05.154932,0.2041085958480835,0.9253373742103577,0.929715633392334,0.9275213479995728,0.9306708574295044,0.997868537902832,0.96309894323349,0.8646991848945618,0.15487059950828552,0.2626921534538269,0:00:08.024961
26,0.18829575181007385,0:01:05.421081,0.286201536655426,0.908894956111908,0.8754564523696899,0.8918623924255371,0.9591313600540161,0.9029778838157654,0.9302079677581787,0.33774667978286743,0.5625588297843933,0.422084242105484,0:00:07.504572
